iter	Logloss
0	0.6846753674
1	0.6767339812
2	0.6692646085
3	0.6623932194
4	0.6559751827
5	0.6497382504
6	0.6441598227
7	0.6386591487
8	0.633546324
9	0.6289247547
10	0.6243646986
11	0.6205002167
12	0.616886946
13	0.6134133858
14	0.609888978
15	0.6066552038
16	0.6036812105
17	0.6009081063
18	0.5983175423
19	0.595683415
20	0.5932657836
21	0.5911166783
22	0.5889169883
23	0.5870052313
24	0.5852149965
25	0.5835528482
26	0.5818770993
27	0.5802529124
28	0.5788651651
29	0.5775421572
30	0.5762892642
31	0.5750072848
32	0.5738271596
33	0.5727585224
34	0.5717244386
35	0.5707309451
36	0.5698631893
37	0.5689342812
38	0.5680658003
39	0.5673306761
40	0.5666030869
41	0.5657970486
42	0.5650894838
43	0.564433657
44	0.563932166
45	0.5633679544
46	0.5627894418
47	0.5622160608
48	0.5617668027
49	0.5613674585
50	0.5609385406
51	0.5605983885
52	0.5600785261
53	0.5595938965
54	0.5591949575
55	0.5586836992
56	0.5582884473
57	0.5579351038
58	0.5576037043
59	0.557271944
60	0.5569789091
61	0.556693592
62	0.5564312548
63	0.5561604533
64	0.5558786339
65	0.555599448
66	0.5552993655
67	0.5550258444
68	0.5547883515
69	0.5545249945
70	0.5542229872
71	0.5540223704
72	0.5537873376
73	0.5535697904
74	0.5532570068
75	0.5530655907
76	0.5528346338
77	0.5525665682
78	0.552290839
79	0.5521092791
80	0.5518771404
81	0.5515819044
82	0.5513799317
83	0.5511329536
84	0.5508987943
85	0.5506878996
86	0.5505018672
87	0.5502870029
88	0.5501317951
89	0.5498738428
90	0.5496669609
91	0.5494216134
92	0.5492266958
93	0.5489641869
94	0.5487947086
95	0.5485978198
96	0.5484537233
97	0.5482003023
98	0.5480794137
99	0.5479318581
100	0.5477722844
101	0.547633442
102	0.5474177693
103	0.547240927
104	0.5470741025
105	0.546900289
106	0.5466827092
107	0.5465971733
108	0.54642159
109	0.5462760506
110	0.5461131264
111	0.5459389353
112	0.5457996303
113	0.5456526679
114	0.5455297334
115	0.5453726532
116	0.5451990644
117	0.5450461437
118	0.5449010126
119	0.5447788618
120	0.5445975466
121	0.5444516381
122	0.5442739915
123	0.5441233632
124	0.5439415577
125	0.5437754104
126	0.5436125671
127	0.5434530521
128	0.5433315485
129	0.5431696871
130	0.5430655503
131	0.5429013004
132	0.5427512591
133	0.5426413592
134	0.5424524511
135	0.542300627
136	0.5420820601
137	0.5419244636
138	0.5417749305
139	0.5416447709
140	0.5415141519
141	0.5413875693
142	0.5412017967
143	0.5410724359
144	0.5409759552
145	0.540803569
146	0.5406900669
147	0.5405542593
148	0.5404328046
149	0.540219636
150	0.5400656872
151	0.5398908795
152	0.539736501
153	0.5395322607
154	0.5393479598
155	0.5391663218
156	0.5389954572
157	0.5388472099
158	0.5387096554
159	0.5385062666
160	0.5384061648
161	0.5382855513
162	0.5381499614
163	0.5379604924
164	0.5377909892
165	0.5376355627
166	0.5374560344
167	0.5373196115
168	0.5372364445
169	0.5370946148
170	0.5369160942
171	0.5367741491
172	0.5365941507
173	0.5364277228
174	0.536306975
175	0.5361911041
176	0.5360323983
177	0.5358772616
