iter	Passed	Remaining
0	133	133408
1	139	69574
2	145	48257
3	151	37660
4	156	31182
5	162	26851
6	167	23710
7	173	21491
8	181	19958
9	188	18661
10	196	17685
11	203	16768
12	211	16024
13	218	15389
14	225	14791
15	232	14303
16	239	13856
17	247	13508
18	255	13180
19	262	12855
20	269	12563
21	276	12298
22	283	12059
23	291	11851
24	298	11634
25	305	11432
26	312	11250
27	318	11066
28	325	10913
29	332	10752
30	338	10590
31	345	10449
32	352	10339
33	360	10232
34	367	10127
35	374	10018
36	380	9914
37	387	9797
38	392	9673
39	398	9558
40	403	9446
41	409	9336
42	415	9241
43	421	9151
44	427	9067
45	432	8973
46	438	8882
47	443	8793
48	448	8714
49	455	8651
50	461	8579
51	467	8527
52	473	8463
53	479	8393
54	484	8330
55	490	8271
56	496	8209
57	501	8149
58	507	8087
59	512	8032
60	518	7981
61	524	7930
62	529	7882
63	535	7837
64	541	7792
65	546	7739
66	552	7695
67	558	7648
68	563	7605
69	570	7574
70	576	7545
71	582	7508
72	588	7474
73	594	7442
74	600	7410
75	607	7391
76	614	7363
77	621	7343
78	627	7316
79	633	7287
80	639	7254
81	644	7218
82	650	7187
83	656	7158
84	662	7132
85	669	7112
86	675	7091
87	682	7071
88	688	7046
89	694	7022
90	700	6997
91	706	6972
92	712	6944
93	717	6918
94	724	6900
95	730	6877
96	735	6851
97	741	6824
98	747	6802
99	753	6785
100	759	6763
101	766	6745
102	772	6731
103	778	6708
104	784	6685
105	790	6667
106	796	6645
107	801	6621
108	807	6599
109	812	6576
110	818	6554
111	824	6535
112	829	6514
113	835	6494
114	841	6478
115	847	6461
116	853	6440
117	859	6420
118	865	6404
119	870	6385
120	876	6364
121	881	6347
122	887	6327
123	893	6309
124	898	6292
125	905	6278
126	911	6262
127	917	6248
128	923	6233
129	929	6220
130	935	6204
131	941	6188
132	946	6172
133	953	6158
134	959	6146
135	965	6133
136	971	6119
137	977	6108
138	984	6097
139	990	6086
140	997	6078
141	1004	6068
142	1011	6063
143	1018	6055
144	1025	6049
145	1032	6041
146	1039	6033
147	1047	6028
148	1054	6023
149	1061	6014
150	1068	6008
151	1075	5998
152	1081	5987
153	1087	5975
154	1094	5966
155	1102	5963
156	1109	5956
157	1116	5951
158	1123	5943
159	1130	5936
160	1137	5925
161	1144	5918
162	1151	5911
163	1157	5900
164	1163	5890
165	1170	5879
166	1176	5870
167	1183	5859
168	1189	5848
169	1195	5835
170	1201	5822
171	1207	5812
172	1214	5804
173	1220	5792
174	1226	5781
175	1231	5767
176	1237	5755
177	1243	5741
178	1248	5728
179	1254	5716
180	1260	5705
181	1266	5694
182	1272	5681
183	1278	5668
184	1283	5655
185	1289	5642
186	1294	5629
187	1300	5615
188	1305	5603
189	1311	5590
190	1316	5577
191	1322	5566
192	1328	5553
193	1334	5542
194	1340	5532
195	1346	5521
196	1351	5510
197	1357	5499
198	1363	5487
199	1369	5478
200	1375	5469
201	1381	5458
202	1387	5448
203	1393	5438
204	1399	5427
205	1405	5418
206	1411	5407
207	1417	5397
208	1423	5386
209	1428	5375
210	1434	5364
211	1440	5354
212	1446	5344
213	1452	5334
214	1458	5324
215	1464	5314
216	1470	5304
217	1476	5297
218	1483	5289
219	1489	5282
220	1496	5274
221	1502	5266
222	1508	5256
223	1515	5248
224	1521	5241
225	1528	5235
226	1535	5229
227	1542	5222
228	1548	5214
229	1555	5207
230	1561	5199
231	1567	5189
232	1573	5181
233	1580	5172
234	1586	5165
235	1592	5156
236	1598	5145
237	1604	5138
238	1610	5128
239	1617	5120
240	1623	5112
241	1629	5103
242	1636	5097
243	1641	5087
244	1647	5077
245	1654	5069
246	1659	5060
247	1665	5050
248	1671	5041
249	1677	5031
250	1683	5023
251	1689	5013
252	1694	5003
253	1700	4993
254	1706	4984
255	1711	4975
256	1718	4967
257	1724	4958
258	1729	4948
259	1735	4940
260	1741	4931
261	1747	4921
262	1753	4913
263	1758	4903
264	1765	4895
265	1771	4887
266	1777	4880
267	1784	4874
268	1790	4865
269	1796	4857
270	1803	4850
271	1808	4841
272	1814	4832
273	1820	4824
274	1826	4814
275	1832	4806
276	1837	4797
277	1843	4788
278	1849	4780
279	1855	4771
280	1861	4762
281	1866	4753
282	1872	4744
283	1878	4735
284	1884	4727
285	1889	4718
286	1896	4710
287	1902	4703
288	1908	4695
289	1914	4688
290	1920	4679
291	1926	4670
292	1931	4661
293	1937	4652
294	1942	4643
295	1948	4635
296	1954	4627
297	1960	4619
298	1966	4610
299	1971	4600
300	1977	4592
301	1983	4584
302	1989	4575
303	1994	4567
304	2000	4559
305	2006	4550
306	2012	4541
307	2017	4533
308	2023	4524
309	2028	4515
310	2034	4508
311	2040	4499
312	2046	4492
313	2052	4484
314	2058	4476
315	2064	4469
316	2070	4461
317	2076	4453
318	2082	4445
319	2087	4436
320	2093	4428
321	2099	4420
322	2105	4413
323	2111	4405
324	2116	4396
325	2122	4387
326	2127	4379
327	2133	4371
328	2139	4363
329	2145	4356
330	2151	4348
331	2157	4341
332	2163	4334
333	2169	4325
334	2175	4317
335	2180	4309
336	2186	4301
337	2191	4292
338	2197	4285
339	2203	4276
340	2209	4270
341	2215	4263
342	2222	4256
343	2228	4249
344	2233	4241
345	2239	4233
346	2246	4226
347	2251	4218
348	2257	4210
349	2263	4203
350	2268	4194
351	2274	4186
352	2279	4178
353	2285	4170
354	2290	4162
355	2296	4155
356	2302	4146
357	2308	4139
358	2313	4131
359	2319	4124
360	2325	4116
361	2330	4107
362	2336	4100
363	2343	4094
364	2349	4086
365	2355	4080
366	2361	4073
367	2367	4065
368	2373	4057
369	2378	4050
370	2384	4042
371	2389	4034
372	2395	4026
373	2400	4018
374	2406	4010
375	2411	4002
376	2417	3994
377	2423	3987
378	2428	3979
379	2434	3972
380	2440	3964
381	2445	3956
382	2451	3948
383	2457	3941
384	2462	3934
385	2468	3925
386	2473	3918
387	2479	3910
388	2485	3903
389	2491	3896
390	2497	3889
391	2503	3883
392	2509	3876
393	2515	3868
394	2521	3861
395	2526	3853
396	2532	3846
397	2538	3839
398	2543	3831
399	2549	3823
400	2554	3816
401	2560	3809
402	2566	3801
403	2571	3794
404	2577	3786
405	2583	3779
406	2589	3772
407	2594	3764
408	2600	3757
409	2606	3750
410	2611	3742
411	2617	3735
412	2623	3728
413	2628	3720
414	2634	3714
415	2641	3708
416	2647	3701
417	2654	3695
418	2660	3688
419	2665	3681
420	2672	3674
421	2677	3667
422	2683	3660
423	2690	3654
424	2696	3647
425	2702	3640
426	2708	3634
427	2714	3627
428	2720	3620
429	2725	3613
430	2731	3605
431	2737	3598
432	2742	3591
433	2748	3584
434	2754	3577
435	2760	3570
436	2765	3562
437	2771	3556
438	2776	3548
439	2783	3542
440	2789	3535
441	2795	3529
442	2801	3522
443	2807	3515
444	2813	3509
445	2820	3503
446	2826	3497
447	2833	3490
448	2839	3484
449	2845	3478
450	2852	3472
451	2859	3466
452	2865	3459
453	2871	3452
454	2877	3446
455	2883	3439
456	2889	3432
457	2894	3425
458	2901	3419
459	2907	3412
460	2913	3405
461	2918	3399
462	2924	3391
463	2930	3385
464	2936	3379
465	2943	3372
466	2949	3365
467	2954	3359
468	2960	3352
469	2966	3345
470	2972	3338
471	2978	3331
472	2984	3325
473	2990	3318
474	2995	3311
475	3001	3304
476	3007	3297
477	3012	3290
478	3018	3283
479	3024	3276
480	3029	3269
481	3035	3262
482	3040	3255
483	3046	3248
484	3052	3241
485	3057	3234
486	3063	3227
487	3069	3220
488	3075	3213
489	3081	3207
490	3088	3201
491	3094	3195
492	3100	3188
493	3106	3182
494	3112	3175
495	3118	3168
496	3123	3161
497	3130	3155
498	3135	3148
499	3141	3141
500	3147	3134
501	3153	3127
502	3158	3121
503	3165	3114
504	3170	3107
505	3176	3101
506	3182	3094
507	3187	3087
508	3193	3080
509	3199	3073
510	3204	3066
511	3210	3060
512	3216	3053
513	3222	3047
514	3228	3040
515	3234	3033
516	3239	3026
517	3245	3020
518	3251	3013
519	3256	3005
520	3262	2999
521	3268	2992
522	3273	2985
523	3279	2978
524	3284	2971
525	3290	2965
526	3296	2958
527	3301	2951
528	3307	2944
529	3321	2945
530	3326	2938
531	3331	2930
532	3336	2923
533	3342	2916
534	3347	2909
535	3353	2902
536	3359	2896
537	3365	2889
538	3370	2882
539	3376	2876
540	3382	2869
541	3387	2862
542	3393	2856
543	3399	2849
544	3405	2843
545	3411	2836
546	3417	2830
547	3423	2823
548	3429	2816
549	3434	2810
550	3440	2803
551	3446	2796
552	3451	2789
553	3456	2782
554	3462	2776
555	3467	2769
556	3474	2763
557	3479	2756
558	3485	2749
559	3491	2743
560	3497	2736
561	3503	2730
562	3509	2724
563	3515	2717
564	3521	2710
565	3526	2704
566	3532	2697
567	3537	2690
568	3543	2684
569	3549	2677
570	3554	2670
571	3560	2664
572	3566	2657
573	3572	2651
574	3577	2644
575	3584	2638
576	3591	2632
577	3597	2626
578	3602	2619
579	3608	2613
580	3614	2606
581	3620	2600
582	3626	2593
583	3631	2587
584	3638	2581
585	3644	2574
586	3650	2568
587	3656	2562
588	3662	2555
589	3668	2549
590	3674	2542
591	3679	2536
592	3685	2529
593	3690	2522
594	3696	2515
595	3701	2509
596	3707	2502
597	3713	2496
598	3718	2489
599	3724	2482
600	3729	2475
601	3734	2469
602	3740	2462
603	3746	2456
604	3751	2449
605	3757	2442
606	3762	2436
607	3768	2429
608	3774	2423
609	3779	2416
610	3786	2410
611	3791	2403
612	3797	2397
613	3804	2391
614	3809	2384
615	3815	2378
616	3821	2372
617	3826	2365
618	3832	2359
619	3838	2352
620	3843	2345
621	3849	2339
622	3854	2332
623	3860	2325
624	3865	2319
625	3871	2313
626	3877	2306
627	3883	2300
628	3888	2293
629	3894	2286
630	3900	2280
631	3905	2274
632	3910	2267
633	3916	2260
634	3921	2254
635	3927	2247
636	3933	2241
637	3939	2235
638	3945	2228
639	3951	2222
640	3957	2216
641	3963	2210
642	3969	2204
643	3975	2197
644	3981	2191
645	3986	2184
646	3992	2178
647	3998	2172
648	4004	2165
649	4010	2159
650	4016	2153
651	4021	2146
652	4027	2139
653	4032	2133
654	4038	2127
655	4043	2120
656	4049	2114
657	4055	2107
658	4060	2101
659	4066	2094
660	4071	2088
661	4077	2081
662	4083	2075
663	4089	2069
664	4095	2063
665	4101	2057
666	4107	2050
667	4113	2044
668	4118	2037
669	4123	2031
670	4129	2024
671	4134	2018
672	4140	2011
673	4145	2005
674	4151	1998
675	4156	1992
676	4162	1985
677	4167	1979
678	4173	1972
679	4178	1966
680	4184	1960
681	4190	1953
682	4195	1947
683	4201	1941
684	4207	1934
685	4213	1928
686	4218	1921
687	4223	1915
688	4229	1909
689	4236	1903
690	4242	1897
691	4249	1891
692	4255	1885
693	4261	1879
694	4267	1872
695	4273	1866
696	4279	1860
697	4285	1854
698	4291	1847
699	4297	1841
700	4302	1835
701	4308	1828
702	4314	1822
703	4320	1816
704	4326	1810
705	4332	1804
706	4337	1797
707	4343	1791
708	4349	1785
709	4355	1778
710	4361	1772
711	4367	1766
712	4373	1760
713	4379	1754
714	4385	1748
715	4392	1742
716	4398	1735
717	4403	1729
718	4409	1723
719	4415	1717
720	4421	1710
721	4427	1704
722	4433	1698
723	4438	1692
724	4444	1685
725	4450	1679
726	4456	1673
727	4465	1668
728	4473	1662
729	4481	1657
730	4490	1652
731	4497	1646
732	4504	1640
733	4512	1635
734	4519	1629
735	4526	1623
736	4532	1617
737	4538	1611
738	4544	1605
739	4550	1598
740	4555	1592
741	4560	1585
742	4566	1579
743	4572	1573
744	4586	1569
745	4592	1563
746	4597	1557
747	4602	1550
748	4607	1544
749	4613	1537
750	4618	1531
751	4624	1524
752	4629	1518
753	4634	1512
754	4640	1506
755	4646	1499
756	4652	1493
757	4658	1487
758	4664	1481
759	4670	1475
760	4676	1468
761	4681	1462
762	4687	1456
763	4693	1449
764	4699	1443
765	4705	1437
766	4710	1430
767	4716	1424
768	4722	1418
769	4727	1412
770	4733	1405
771	4739	1399
772	4744	1393
773	4750	1386
774	4755	1380
775	4761	1374
776	4766	1368
777	4772	1361
778	4777	1355
779	4782	1349
780	4788	1342
781	4794	1336
782	4800	1330
783	4806	1324
784	4812	1318
785	4818	1311
786	4824	1305
787	4829	1299
788	4835	1293
789	4841	1286
790	4846	1280
791	4852	1274
792	4857	1268
793	4863	1261
794	4868	1255
795	4874	1249
796	4879	1242
797	4884	1236
798	4890	1230
799	4895	1223
800	4901	1217
801	4907	1211
802	4912	1205
803	4918	1199
804	4923	1192
805	4929	1186
806	4936	1180
807	4941	1174
808	4948	1168
809	4954	1162
810	4960	1156
811	4966	1149
812	4971	1143
813	4977	1137
814	4982	1131
815	4988	1124
816	4993	1118
817	4999	1112
818	5005	1106
819	5010	1099
820	5016	1093
821	5021	1087
822	5027	1081
823	5033	1075
824	5038	1068
825	5044	1062
826	5049	1056
827	5055	1050
828	5061	1043
829	5067	1037
830	5073	1031
831	5079	1025
832	5085	1019
833	5090	1013
834	5097	1007
835	5103	1001
836	5108	994
837	5114	988
838	5119	982
839	5125	976
840	5131	970
841	5136	963
842	5142	957
843	5148	951
844	5153	945
845	5159	939
846	5165	932
847	5170	926
848	5175	920
849	5181	914
850	5187	908
851	5193	902
852	5199	896
853	5205	889
854	5211	883
855	5217	877
856	5223	871
857	5228	865
858	5234	859
859	5239	853
860	5245	846
861	5250	840
862	5256	834
863	5261	828
864	5267	822
865	5272	815
866	5278	809
867	5283	803
868	5289	797
869	5294	791
870	5300	785
871	5305	778
872	5311	772
873	5316	766
874	5322	760
875	5327	754
876	5333	747
877	5338	741
878	5344	735
879	5350	729
880	5355	723
881	5362	717
882	5367	711
883	5372	705
884	5378	698
885	5383	692
886	5389	686
887	5394	680
888	5400	674
889	5405	668
890	5412	662
891	5417	655
892	5422	649
893	5428	643
894	5434	637
895	5439	631
896	5445	625
897	5450	619
898	5456	612
899	5462	606
900	5467	600
901	5473	594
902	5479	588
903	5484	582
904	5490	576
905	5496	570
906	5501	564
907	5508	558
908	5514	552
909	5520	545
910	5526	539
911	5532	533
912	5537	527
913	5544	521
914	5549	515
915	5555	509
916	5561	503
917	5566	497
918	5572	491
919	5578	485
920	5583	478
921	5588	472
922	5594	466
923	5600	460
924	5605	454
925	5611	448
926	5617	442
927	5622	436
928	5628	430
929	5634	424
930	5639	417
931	5645	411
932	5650	405
933	5656	399
934	5662	393
935	5667	387
936	5673	381
937	5678	375
938	5683	369
939	5689	363
940	5695	357
941	5700	350
942	5706	344
943	5711	338
944	5717	332
945	5723	326
946	5729	320
947	5734	314
948	5740	308
949	5746	302
950	5752	296
951	5759	290
952	5765	284
953	5772	278
954	5778	272
955	5784	266
956	5791	260
957	5797	254
958	5803	248
959	5809	242
960	5815	236
961	5821	229
962	5828	223
963	5834	217
964	5840	211
965	5846	205
966	5852	199
967	5859	193
968	5865	187
969	5871	181
970	5877	175
971	5883	169
972	5890	163
973	5896	157
974	5903	151
975	5910	145
976	5916	139
977	5923	133
978	5929	127
979	5936	121
980	5942	115
981	5949	109
982	5955	103
983	5962	96
984	5968	90
985	5974	84
986	5980	78
987	5986	72
988	5992	66
989	5999	60
990	6006	54
991	6012	48
992	6019	42
993	6027	36
994	6034	30
995	6040	24
996	6047	18
997	6054	12
998	6060	6
999	6067	0
