iter	Passed	Remaining
0	6	6958
1	13	6627
2	18	6090
3	23	5941
4	28	5759
5	33	5629
6	39	5644
7	45	5639
8	50	5595
9	56	5616
10	62	5594
11	67	5584
12	73	5558
13	78	5541
14	84	5539
15	89	5514
16	94	5482
17	100	5476
18	106	5499
19	111	5477
20	117	5468
21	122	5440
22	127	5418
23	133	5409
24	138	5406
25	143	5375
26	148	5367
27	154	5368
28	160	5358
29	165	5363
30	170	5340
31	175	5318
32	181	5316
33	187	5318
34	192	5303
35	197	5297
36	203	5300
37	209	5297
38	214	5295
39	220	5292
40	226	5286
41	231	5278
42	236	5271
43	242	5266
44	247	5261
45	253	5257
46	259	5252
47	264	5251
48	270	5243
49	275	5231
50	281	5233
51	286	5231
52	292	5222
53	297	5220
54	304	5224
55	310	5226
56	316	5228
57	321	5219
58	326	5212
59	333	5217
60	338	5211
61	343	5199
62	349	5203
63	354	5191
64	360	5179
65	366	5181
66	371	5171
67	376	5163
68	383	5168
69	388	5157
70	393	5148
71	398	5142
72	404	5130
73	409	5119
74	415	5118
75	420	5109
76	425	5099
77	431	5096
78	436	5091
79	442	5090
80	449	5095
81	454	5092
82	461	5094
83	466	5089
84	471	5080
85	477	5073
86	482	5066
87	488	5058
88	493	5051
89	499	5046
90	504	5035
91	509	5028
92	515	5024
93	520	5015
94	525	5008
95	531	5003
96	536	4994
97	541	4987
98	547	4982
99	552	4975
100	558	4971
101	563	4962
102	568	4952
103	573	4943
104	580	4944
105	585	4934
106	590	4930
107	596	4924
108	602	4921
109	608	4919
110	613	4912
111	618	4901
112	623	4893
113	628	4886
114	634	4879
115	640	4878
116	646	4877
117	652	4873
118	658	4874
119	664	4870
120	670	4868
121	676	4865
122	681	4857
123	686	4849
124	692	4846
125	697	4840
126	703	4832
127	709	4830
128	714	4824
129	719	4816
130	725	4814
131	731	4808
132	737	4806
133	742	4801
134	748	4794
135	754	4791
136	759	4785
137	764	4774
138	769	4766
139	775	4762
140	780	4755
141	785	4748
142	791	4745
143	796	4736
144	802	4730
145	808	4728
146	813	4721
