SK_ID_CURR,p_default,p_approve,y_target
314042,0.10312,0.89688,0
454590,0.017844,0.982156,0
117611,0.033696,0.966304,0
146872,0.004387,0.995613,0
443522,0.02841,0.97159,0
438785,0.022531,0.97747,0
371993,0.008017,0.991983,0
324077,0.245087,0.754913,0
239432,0.035582,0.964418,0
273703,0.01657,0.98343,0
160236,0.078311,0.921689,0
188687,0.036604,0.963396,0
346310,0.057125,0.942875,0
106008,0.063824,0.936176,0
280521,0.00833,0.99167,1
381245,0.031484,0.968516,0
271898,0.118227,0.881773,0
159820,0.024096,0.975904,1
436652,0.034834,0.965166,0
336074,0.017426,0.982574,1
374782,0.019124,0.980876,0
207226,0.171426,0.828574,0
131256,0.010209,0.989791,0
416732,0.113992,0.886008,0
250011,0.202461,0.797539,0
270731,0.052168,0.947832,0
321856,0.010029,0.989971,0
154322,0.051055,0.948945,0
308607,0.0094,0.9906,0
163413,0.063947,0.936053,0
433466,0.029524,0.970476,0
396812,0.00634,0.99366,0
339131,0.081508,0.918492,0
272251,0.049818,0.950182,0
366861,0.07049,0.92951,0
110944,0.01396,0.98604,0
286934,0.018828,0.981172,0
119038,0.03019,0.96981,0
389040,0.068939,0.931061,0
171944,0.042818,0.957182,0
100234,0.014109,0.985891,0
193023,0.013079,0.986921,0
420477,0.093406,0.906594,0
122423,0.034198,0.965802,0
181101,0.016374,0.983626,0
160071,0.215869,0.784131,0
198442,0.0714,0.9286,0
178915,0.018096,0.981904,0
111513,0.031528,0.968472,0
447943,0.035959,0.964041,0
321948,0.005563,0.994437,0
355598,0.007715,0.992285,0
209070,0.009863,0.990138,1
371481,0.064778,0.935222,0
110466,0.010785,0.989215,0
259334,0.037108,0.962892,0
222018,0.052744,0.947256,0
179831,0.210808,0.789192,0
431772,0.031363,0.968636,0
238950,0.010417,0.989583,0
148800,0.189005,0.810995,0
432275,0.042439,0.957561,0
109686,0.021045,0.978955,0
346572,0.035036,0.964964,0
205200,0.040571,0.959429,0
160933,0.067232,0.932768,0
229474,0.246073,0.753928,0
358324,0.020034,0.979966,0
170316,0.023926,0.976074,0
442426,0.022677,0.977323,0
266116,0.018734,0.981266,0
164203,0.060637,0.939363,0
340748,0.035752,0.964248,0
252267,0.07488,0.92512,0
116542,0.048659,0.951341,0
112647,0.034602,0.965398,0
249275,0.012281,0.987719,0
278203,0.006566,0.993434,0
259417,0.176609,0.823391,1
163113,0.019997,0.980003,0
181362,0.025601,0.974399,0
108302,0.102016,0.897984,0
153361,0.040842,0.959158,0
327308,0.014043,0.985957,0
359332,0.027195,0.972805,0
244328,0.016333,0.983667,0
411015,0.009073,0.990927,0
324034,0.057082,0.942918,0
259824,0.019221,0.980779,0
423249,0.037983,0.962017,0
361087,0.004247,0.995753,0
154568,0.062672,0.937328,0
202143,0.067403,0.932597,0
230845,0.056979,0.943021,0
324576,0.013874,0.986126,0
260873,0.21682,0.78318,0
152893,0.03622,0.96378,0
442132,0.00769,0.99231,0
380263,0.075561,0.924439,0
195027,0.034821,0.965179,0
385347,0.120449,0.879551,0
247258,0.046936,0.953064,0
338182,0.016397,0.983604,0
131389,0.008463,0.991538,0
132886,0.06185,0.93815,0
106779,0.008917,0.991083,0
274411,0.041813,0.958187,0
353135,0.045444,0.954556,0
395730,0.009914,0.990086,0
353083,0.013657,0.986343,0
354527,0.032221,0.967779,0
336333,0.069143,0.930857,0
265313,0.027961,0.972039,1
186001,0.024467,0.975533,0
418834,0.088716,0.911284,1
348097,0.056659,0.943341,0
243074,0.021538,0.978462,0
361760,0.024749,0.975251,0
191829,0.087709,0.912291,1
436638,0.027531,0.972469,0
214911,0.012947,0.987053,0
243630,0.017064,0.982936,0
391045,0.085344,0.914656,0
119957,0.038912,0.961088,0
260323,0.033241,0.966759,0
198139,0.015359,0.984641,0
268564,0.039018,0.960982,0
181361,0.043715,0.956285,0
259949,0.037867,0.962133,0
104111,0.08293,0.91707,0
269418,0.172182,0.827818,1
178780,0.223209,0.776791,1
113724,0.159218,0.840782,0
187943,0.011547,0.988453,1
380000,0.071236,0.928764,0
236498,0.00674,0.99326,0
139734,0.01434,0.98566,0
227921,0.027181,0.972819,0
250800,0.169667,0.830333,0
103883,0.020397,0.979603,0
454503,0.038274,0.961726,0
395889,0.266569,0.733431,0
343394,0.055098,0.944902,0
164600,0.036489,0.963511,0
247819,0.145488,0.854512,0
169827,0.08012,0.91988,0
196257,0.125791,0.874209,0
217346,0.016383,0.983617,0
369773,0.018339,0.981661,0
380104,0.044343,0.955657,0
245407,0.006059,0.993941,0
267177,0.175375,0.824625,1
350767,0.073761,0.926239,0
167023,0.041876,0.958124,0
405307,0.02368,0.97632,1
105948,0.086314,0.913686,0
353487,0.0368,0.9632,0
115170,0.008924,0.991076,0
171227,0.015817,0.984183,0
